61510at147545	tig00000012	371144	382370
33798at147545	tig00000007	1300619	1312554
42918at147545	tig00000023	909523	921524
88382at147545	tig00000021	714561	725653
88382at147545	tig00000004	3755546	3766097
88382at147545	tig00000014	120684	131142
118659at147545	tig00000020	1085689	1096173
92132at147545	tig00000008	845029	856467
96092at147545	tig00000004	692897	703790
71497at147545	tig00000008	130548	141604
71497at147545	tig00000004	1348243	1359013
71497at147545	tig00000023	2995060	3005953
68616at147545	tig00000008	768940	780207
11334at147545	tig00000006	1929402	1978280
77671at147545	tig00000023	2259660	2270590
33902at147545	tig00000023	1545518	1557610
96149at147545	tig00000023	1750383	1761591
104149at147545	tig00000019	1135536	1160457
75022at147545	tig00000006	299788	311134
24279at147545	tig00000020	755471	767924
105240at147545	tig00000006	636171	647285
111536at147545	tig00000023	1287554	1298204
85577at147545	tig00000021	846437	857272
77208at147545	tig00000006	2102566	2113628
77208at147545	tig00000007	1555621	1566313
24898at147545	tig00000019	1004106	1031765
24898at147545	tig00000020	1474864	1486518
24898at147545	tig00000027	454749	465945
52831at147545	tig00000012	19831	31062
52831at147545	tig00000020	1692120	1703102
111005at147545	tig00000004	2439358	2450166
81676at147545	tig00000023	1044953	1058194
76739at147545	tig00000023	1815924	1827015
51274at147545	tig00000025	872385	884294
28262at147545	tig00000007	1719258	1731256
24805at147545	tig00000021	1711022	1723037
58802at147545	tig00000006	1854609	1865736
99338at147545	tig00000007	347302	358086
113186at147545	tig00000004	2613908	2624456
113186at147545	tig00000006	981991	992314
97620at147545	tig00000023	1910182	1921192
63166at147545	tig00000004	2498524	2509819
63166at147545	tig00000022	373438	384991
87719at147545	tig00000021	644067	655150
16603at147545	tig00000021	971037	983993
102449at147545	tig00000010	469589	481137
25873at147545	tig00000020	1261060	1273616
23193at147545	tig00000012	647346	659750
20805at147545	tig00000021	328692	340691
112169at147545	tig00000021	46545	57256
62331at147545	tig00000006	916031	927319
59555at147545	tig00000010	1026710	1038442
75408at147545	tig00000004	1390457	1401543
47213at147545	tig00000023	2824507	2851798
47213at147545	tig00000027	511783	556305
65712at147545	tig00000006	2223217	2235624
52463at147545	tig00000007	1328749	1340986
26701at147545	tig00000008	699268	714523
26701at147545	tig00000019	479751	502761
45769at147545	tig00000004	3117932	3130559
45769at147545	tig00000008	270512	281684
61270at147545	tig00000007	1172049	1183421
61270at147545	tig00000020	747507	758797
49564at147545	tig00000004	3507785	3519460
111628at147545	tig00000023	2809040	2819641
23322at147545	tig00000022	106859	120390
111577at147545	tig00000022	137384	147775
68456at147545	tig00000020	1176517	1190352
68456at147545	tig00000013	621894	633279
73255at147545	tig00000008	463454	474578
73255at147545	tig00000021	469042	479971
73255at147545	tig00000012	530316	541104
1044at147545	tig00000021	1886592	1912749
21801at147545	tig00000021	1413520	1425418
76339at147545	tig00000004	2615378	2626782
100457at147545	tig00000004	2646711	2657567
114625at147545	tig00000007	691192	701868
70760at147545	tig00000008	603169	614313
70760at147545	tig00000013	302111	313158
88783at147545	tig00000008	1227811	1239354
88783at147545	tig00000006	1264726	1276521
5814at147545	tig00000006	1132515	1146082
839at147545	tig00000021	207528	223908
103769at147545	tig00000004	770145	780877
103174at147545	tig00000004	2095478	2106662
94318at147545	tig00000008	454035	464785
110426at147545	tig00000021	1830102	1840768
16133at147545	tig00000004	3375748	3391395
16133at147545	tig00000010	976622	989155
73721at147545	tig00000006	875280	886495
9605at147545	tig00000007	1363525	1378372
73871at147545	tig00000007	245049	256709
95084at147545	tig00000027	451441	462363
30179at147545	tig00000006	1812625	1825058
25616at147545	tig00000023	2864501	2876417
12789at147545	tig00000023	2922540	2935621
99732at147545	tig00000022	134060	146846
61320at147545	tig00000010	618916	630538
61320at147545	tig00000007	406580	418000
61320at147545	tig00000030	1092085	1103692
68198at147545	tig00000027	459203	470259
108523at147545	tig00000007	2307517	2318270
92766at147545	tig00000008	1328017	1339492
77977at147545	tig00000030	836083	847221
77977at147545	tig00000019	1368661	1379613
14129at147545	tig00000021	962358	974999
91001at147545	tig00000019	1119750	1130911
