67627at147545	tig00000001	3859090	3870178
67627at147545	tig00000004	2681548	2692291
67627at147545	tig00000002	1159484	1170439
56718at147545	tig00000004	1677407	1688810
78260at147545	tig00000004	3177526	3188650
2379at147545	tig00000002	406507	422323
101957at147545	tig00000003	2543244	2554074
33447at147545	tig00000004	1682965	1694731
32954at147545	tig00000002	2416614	2429407
61510at147545	tig00000009	1159469	1170687
33798at147545	tig00000002	3512250	3523411
57227at147545	tig00000003	2759724	2771113
21438at147545	tig00000002	4159183	4171204
75670at147545	tig00000007	861280	873034
122273at147545	tig00000009	969580	980265
58036at147545	tig00000009	1612332	1623592
58036at147545	tig00000003	2563677	2574576
24003at147545	tig00000005	2082370	2094778
45322at147545	tig00000003	1960290	1971698
89834at147545	tig00000003	1862483	1872989
108018at147545	tig00000005	3057825	3068124
42918at147545	tig00000003	908733	919854
34687at147545	tig00000007	1207672	1219688
60657at147545	tig00000001	666987	678648
7192at147545	tig00000005	912867	926046
92856at147545	tig00000003	2572462	2583290
42297at147545	tig00000003	508853	520263
60609at147545	tig00000002	2294587	2306062
12783at147545	tig00000004	2221821	2236422
12783at147545	tig00000002	1335270	1347411
106063at147545	tig00000007	878035	888607
56463at147545	tig00000001	3276825	3288563
100855at147545	tig00000004	3304473	3315244
19883at147545	tig00000002	1861826	1873759
19883at147545	tig00000004	2895894	2907795
93975at147545	tig00000001	1769166	1780354
24656at147545	tig00000001	2759880	2771909
24656at147545	tig00000002	3552039	3563967
24656at147545	tig00000008	1346111	1357793
67933at147545	tig00000010	690253	701738
9095at147545	tig00000001	1442335	1455327
49054at147545	tig00000002	1323189	1335243
68115at147545	tig00000002	4516213	4528397
51679at147545	tig00000001	941253	952857
37939at147545	tig00000005	312395	324105
4124at147545	tig00000005	1661244	1674753
108575at147545	tig00000005	1622677	1633177
52700at147545	tig00000010	923872	934911
52700at147545	tig00000005	3082026	3092919
52700at147545	tig00000003	1686354	1697092
52977at147545	tig00000002	623051	634669
52977at147545	tig00000005	1915580	1926931
52977at147545	tig00000010	256994	284660
5028at147545	tig00000004	562098	575217
12074at147545	tig00000001	1946883	2008225
84164at147545	tig00000001	1928780	1939709
84164at147545	tig00000002	4620702	4631403
4334at147545	tig00000001	1212561	1225825
4334at147545	tig00000009	376781	389200
45058at147545	tig00000002	958677	970747
107672at147545	tig00000002	602724	612999
65887at147545	tig00000002	4616058	4627396
106644at147545	tig00000009	650012	660320
48904at147545	tig00000007	1798708	1811299
1622at147545	tig00000004	2536576	2551617
64300at147545	tig00000007	1518379	1529477
63327at147545	tig00000003	763014	774069
69083at147545	tig00000001	1405022	1415987
65484at147545	tig00000005	1480153	1491214
105434at147545	tig00000005	404075	414681
41450at147545	tig00000009	926383	937858
41450at147545	tig00000002	4793144	4804312
41450at147545	tig00000005	847290	858417
